"('diapers', 0.011430031079372429)"
"('diaper champ purchase', 0.006666467772160722)"
"('buy diaper champ', 0.0066585054812670795)"
"('diaper odors', 0.0066205980149044935)"
"('dirty diaper champ', 0.006617320179310951)"
"('diaper bag gets', 0.006613583728986406)"
"('diaper disposal bag', 0.006611239045718201)"
"('diaper champ holds', 0.006596642750958987)"
"('great diaper champ', 0.006586389319890741)"
"('diaper bag like', 0.00658622749289143)"
"('diaper champ uses', 0.0065848821537228056)"
"('room smell', 0.006579872583393001)"
"('diaper champ manufacturer', 0.0065785851415949385)"
"('recommend diaper champ', 0.006577882439826543)"
"('diaper champ cover', 0.006575362250526768)"
"('diaper champ online', 0.006567859701700859)"
"('replacement diaper champ', 0.006542486987708251)"
"('diaper champ instead', 0.0065390942389385335)"
"('diaper champ sure', 0.006531591875869171)"
"('diaper champ gets', 0.006531081602049013)"
"('diaper champ got', 0.006529739186794353)"
"('diaper champ stinks', 0.006527506325694727)"
"('diapers inside', 0.006527313444259017)"
"('diaper champ right', 0.006526307731937009)"
"('diaper champ takes', 0.006513201491092163)"
"('diaper champ much', 0.006504485989623338)"
"('diaper champ within', 0.006503071398092144)"
"('older diaper champ', 0.006500714977800586)"
"('sorry diaper champ', 0.006500314362209603)"
"('diaper champ still', 0.00649851559626398)"
"('diaper champ turns', 0.006494754752387117)"
"('diaper champ must', 0.006493804092457961)"
"('diapers stink', 0.006429047936829733)"
"('trash bag', 0.006427498630472202)"
"('babies diapers', 0.006398056747812166)"
"('poop diapers', 0.00637284452929065)"
"('diaper mess smell', 0.006354940271037013)"
"('kids diapers', 0.006348977857652559)"
"('toddler diapers', 0.006309723645215957)"
"('price diaper pail', 0.00624901678463859)"
"('first diaper pail', 0.006239632786602463)"
"('use diapers', 0.006239207801074019)"
"('diaper pail keeps', 0.006236991285451071)"
"('smell problem', 0.006221943374284102)"
"('diaper pail system', 0.006218601181350202)"
"('change diapers', 0.006217905161598255)"
"('diaper pail work', 0.006207571925646011)"
"('empty diapers', 0.006197634671603983)"
"('diapers well', 0.006196315441216805)"
"('diaper refills', 0.006188172449944429)"
"('buy diaper pail', 0.006180566891327577)"
"('dirty diaper smell', 0.006169297687214456)"
"('smell dirty diaper', 0.006169297687214456)"
"('cheap diaper pail', 0.006167317233165864)"
"('genie bags', 0.006158048835984292)"
"('bag inside', 0.006147987700385998)"
"('worse diaper pail', 0.006143142415382312)"
"('odorless diaper pail', 0.006142159027272664)"
"('dirty diaper pail', 0.00613938158937145)"
"('diaper pail broke', 0.006129831454502525)"
"('diaper pail liners', 0.006116749482745474)"
"('nice diaper pail', 0.006116191980207227)"
"('diaper pail air', 0.0061089719602770475)"
"('great diaper pail', 0.00610845072995124)"
"('diaper pail uses', 0.006106943563783305)"
"('diapers one', 0.0061004050121110966)"
"('buying diapers', 0.0060832126423169975)"
"('diaper pails smell', 0.0060799965755760485)"
"('poopy diaper smell', 0.0060794792559517976)"
"('diaper pail contents', 0.006071995209541568)"
"('diapers get', 0.006065765997546293)"
"('get diapers', 0.006065765997546293)"
"('diaper pail instead', 0.006061155648999033)"
"('nasty diaper smell', 0.006057585332085057)"
"('stinky diaper smell', 0.006056333323128614)"
"('diaper pail stinks', 0.006049567735755226)"
"('good diaper pail', 0.006045023895275299)"
"('avoid diaper smell', 0.006044716382138669)"
"('diaper pail makes', 0.006037273411374816)"
"('diaper pail stunk', 0.0060323327323447105)"
"('baby diapers stink', 0.006027835682732376)"
"('awesome diaper pail', 0.006027680674535696)"
"('neat diaper pail', 0.006027333353498084)"
"('stinky diaper pail', 0.006026417225285608)"
"('convenient diaper pail', 0.006023989222424458)"
"('free diaper pail', 0.006020503492753757)"
"('diaper pail must', 0.0060158655025184605)"
"('buy diapers', 0.006015428643933607)"
"('newborn diapers', 0.005984133201289394)"
"('diapers let', 0.005977087353426101)"
"('diapers anyway', 0.005975838447527546)"
"('store bag', 0.005974350862441674)"
"('cloth diapers', 0.005973074117256787)"
"('throw diapers', 0.005968271110883091)"
"('odorless diapers', 0.005957816847851236)"
"('dirty diapers', 0.005953650690999416)"
"('diapers dirty', 0.005953650690999416)"
"('diaper genie refills', 0.005950892435121205)"
"('toddlers diapers', 0.005945585596177869)"
"('formula diapers', 0.0059360240203328385)"
"('holds diapers', 0.00592263454847147)"
"('couple diapers', 0.005900500547330165)"
"('wash diapers', 0.0058727969572026605)"
"('diapers loose', 0.005860508011917234)"
"('diapers outside', 0.005859375473862734)"
"('diapers hold', 0.005844186360833361)"
"('daughters diapers', 0.005841051322293537)"
"('change bag', 0.005838579417725236)"
"('bag change', 0.005838579417725236)"
"('sons diapers', 0.0058368825442609564)"
"('changing diapers', 0.005832025394225706)"
"('putting diapers', 0.005825322032924606)"
"('diapers got', 0.005822279202224517)"
"('diapers go', 0.0058220935693720985)"
"('forget diapers', 0.005821749031335092)"
"('garbage bag', 0.005820666386613509)"
"('diapers pails', 0.005819699023541803)"
"('poopy diapers', 0.005818923044105428)"
"('empty bag', 0.005818308927730964)"
"('diapers right', 0.005817132019938501)"
"('diapers good', 0.005812114149855191)"
"('pee diapers', 0.005809300804975381)"
"('toss diapers', 0.005807788467722747)"
"('champ easy', 0.005805476767325588)"
"('takes diapers', 0.005797472658671234)"
"('bag twice', 0.005792872450074612)"
"('getting diapers', 0.005792702433905419)"
"('nasty diapers', 0.0057860821583053165)"
"('stinky diapers', 0.005784204144870652)"
"('diapers like', 0.005783258470964046)"
"('like diapers', 0.005783258470964046)"
"('diapers within', 0.005782277519171206)"
"('diapers fall', 0.005781009609388853)"
"('keeping diapers', 0.005777130323686527)"
"('disposing diapers', 0.005776230709325593)"
"('bag works', 0.00577127544845099)"
"('tiny diapers', 0.005769513157861461)"
"('diaper champ saves money', 0.00575256227225054)"
"('diaper smells', 0.005746426545810263)"
"('champ box', 0.005728596508583888)"
"('bag first', 0.005724701742972917)"
"('one bag', 0.005721079268238078)"
"('nursery smell', 0.005717905268132347)"
"('bag system', 0.005693154335094525)"
"('bag get', 0.005686440253673274)"
"('bag work', 0.005676610451538237)"
"('champ twice', 0.005669119259668523)"
"('kitchen bag', 0.005651757719402097)"
"('dirty diaper odor', 0.005651225196559989)"
"('smell anything', 0.0056502531121288046)"
"('size bag', 0.005649860237901274)"
"('champ works', 0.005647522258044901)"
"('smell something', 0.005622688639569282)"
"('champ first', 0.005600948552566828)"
"('first champ', 0.005600948552566828)"
"('champ keeps', 0.005596986300839739)"
"('bag anyway', 0.0055965127036545275)"
"('refill bag', 0.005593235968447002)"
"('dirty bag', 0.005574324947126398)"
"('months', 0.005569642777187294)"
"('diaper trash', 0.005567217346905125)"
"('poopy diaper odor', 0.0055614067652973295)"
"('bag spray', 0.005547409440587417)"
"('nasty diaper odor', 0.005539512841430588)"
"('stinky diaper odor', 0.005538260832474146)"
"('keeping diaper odor', 0.005533544951684729)"
"('champ everything', 0.005507550115512284)"
"('bag alot', 0.005504228834423718)"
"('waste bag', 0.005492669239887877)"
"('diaper champ still holds odor', 0.005487274613784754)"
"('bag outside', 0.005480049729989715)"
"('kids diapers smell like', 0.005478561828096377)"
"('genie', 0.005476332405474754)"
"('champ let', 0.005474008419146993)"
"('bag contents', 0.005473245377381573)"
"('champ downstairs', 0.005468358420897265)"
"('stuck diaper', 0.005466073111305205)"
"('bag watch', 0.005461453823160459)"
"('bag instead', 0.00545698603656777)"
"('bag changing', 0.005452699650352688)"
"('bag gets', 0.005444967081233491)"
"('odor problem', 0.005444834638302399)"
"('product reviews', 0.005443445488902009)"
"('bag right', 0.005437806276065483)"
"('champ apart', 0.005436486729948101)"
"('spray champ', 0.005423656250181328)"
"('bag everyday', 0.005421886224793973)"
"('champ holds', 0.005419555614192362)"
"('bag takes', 0.005418146914798215)"
"('bag mouth', 0.005417248473028248)"
"('gallon bag', 0.005407326536276017)"
"('bag much', 0.005405073662594978)"
"('much bag', 0.005405073662594978)"
"('champ uses', 0.005401914718338089)"
"('bag back', 0.005399931652307127)"
"('bag emptying', 0.005398044601998618)"
"('bag free', 0.005396007802199857)"
"('plastic bag', 0.00539361152143712)"
"('bag needs', 0.005389053866480291)"
"('bag must', 0.005389050816846912)"
"('diaper champ getting stuck', 0.005377848305465758)"
"('champ seems', 0.005362834645402214)"
"('champ outside', 0.005356296539583626)"
"('smell inside', 0.005352200771835167)"
"('diaper disposal bags', 0.005334034270674013)"
"('champ instead', 0.005333232846161681)"
"('champ gets', 0.005321213890827401)"
"('champ set', 0.0053182923427150175)"
"('champ stinks', 0.005315850976295971)"
"('inside pail', 0.005307326625070657)"
"('diaper champ works well', 0.005302115335910806)"
"('champ makes', 0.005297409489725358)"
"('champ takes', 0.005294393724392126)"
"('diaper inside', 0.005287706416818921)"
"('smell like dirty diapers', 0.005280898244769806)"
"('price odor free diaper pail', 0.005278654925850083)"
"('champ back', 0.005276178461901038)"
"('champ starts', 0.005270574209820729)"
"('diaper inside baby', 0.005266941336058502)"
"('champ gives', 0.005264851185235178)"
"('baby', 0.005225411174537664)"
"('daughters diapers smell like', 0.005224598560416866)"
"('smell problems', 0.005216260347608035)"
"('nice try diaper champ', 0.005210278956015422)"
"('smell poop', 0.0051977318568668)"
"('poop smell', 0.0051977318568668)"
"('diaper stink', 0.005189440909389637)"
"('use diaper genie', 0.005158511317580866)"
"('diaper champ works great', 0.005157584816236954)"
"('diaper disposal bag first', 0.00515293525786851)"
"('diaper problems', 0.005151765992591789)"
"('smell part', 0.005146022426017596)"
"('bags refills', 0.005132646570945225)"
"('way dirty diapers', 0.005126023156515401)"
"('store diaper', 0.005114069578874597)"
"('diaper genie twice', 0.005113838246163275)"
"('diaper pain', 0.005109126927366045)"
"('diaper genie works', 0.00509944024508086)"
"('diaper flip', 0.005069488609290886)"
"('fine product', 0.005049085784496088)"
"('diaper genie system', 0.005047359502843217)"
"('smell well', 0.005021202768792955)"
"('well smell', 0.005021202768792955)"
"('buy diaper genie', 0.005009325212820592)"
"('product easy', 0.005004629425799948)"
"('diaper champ getting dirty', 0.005001833581592815)"
"('diaper champ makes life', 0.004997507933156694)"
"('garbage pail', 0.004980005311298168)"
"('diaper change', 0.004978298134158159)"
"('product love', 0.004969641579449024)"
"('diaper wipes', 0.004961086528742121)"
"('diaper garbage', 0.004960385103046432)"
"('time', 0.004959675390867627)"
"('diaper genie broke', 0.004958589775995539)"
"('diaper well', 0.00495670841377671)"
"('baby thing', 0.004952474073775885)"
"('pail twice', 0.004952211374759271)"
"('diaper wipe', 0.004935857892607216)"
"('diaper genie uses', 0.004935701885276319)"
"('diaper twice', 0.004932591166507535)"
"('pail works', 0.004930614373135649)"
"('diaper champ gets older', 0.004930174876060587)"
"('diaper champ saves us', 0.004904621318485527)"
"('buy bag refills', 0.004899244558505932)"
"('diaper drop', 0.004898666162984115)"
"('price pail', 0.004898116664711766)"
"('glad odor bags', 0.004897707236109434)"
"('diaper genie instead', 0.004889913970492047)"
"('diaper hole', 0.004887229622133344)"
"('pail keeps', 0.0048800784159304875)"
"('diaper genie ca', 0.004866961589267296)"
"('diaper genie difficult', 0.004865160148715496)"
"('first diaper', 0.00486442045940584)"
"('diaper first', 0.00486442045940584)"
"('smell complaints', 0.004862172949418732)"
"('home diaper smell free', 0.004861437750709638)"
"('diaper genie stunk', 0.004861091053837725)"
"('one diaper', 0.004860797984671001)"
"('trash odor', 0.004854602965939667)"
"('diaper genie like', 0.0048545450975075516)"
"('like diaper genie', 0.0048545450975075516)"
"('product works', 0.004846674916519261)"
"('pail get', 0.004845779178357933)"
"('diaper genie needs', 0.004844625857100394)"
"('smell issue', 0.0048432197141400355)"
"('first floor diaper pail', 0.004839588469826197)"
"('pail work', 0.004835949376222896)"
"('smell everything', 0.0048355163773675415)"
"('diaper system', 0.004832873051527448)"
"('week baby', 0.0048308167006291414)"
"('kitchen pail', 0.004811096644086756)"
"('toddler diaper odors', 0.0048102040802894905)"
"('smell anyway', 0.004800725775103696)"
"('first diaper pail broke', 0.004791879564456754)"
"('diaper size', 0.004789578954334197)"
"('size diaper', 0.004789578954334197)"
"('smell worse', 0.004784179257591859)"
"('diaper container', 0.004782539318119749)"
"('smell dirty', 0.004778538018575566)"
"('one great diaper pail', 0.004774032783675872)"
"('smell control', 0.004767056389766512)"
"('worth smell', 0.0047506627833235025)"
"('odorless pail', 0.004737830028662876)"
"('cloth diaper', 0.004733467089816691)"
"('diaper products', 0.0047323841275595)"
"('dirty diaper', 0.0047140436635593206)"
"('smell issues', 0.004706767804233241)"
"('diapers get stuck', 0.0047042870644035855)"
"('pail holds', 0.00470264772928311)"
"('keep buying diaper pail', 0.004701369149513695)"
"('smell everytime', 0.0046998466154976595)"
"('diaper genie refills cost', 0.004698787664213938)"
"('house dirty diapers', 0.004697449322081656)"
"('great pail', 0.004687267582680741)"
"('pail uses', 0.0046850068334288375)"
"('thing', 0.0046795369730141066)"
"('star pail', 0.004670358655912338)"
"('smell escape', 0.004663949366633161)"
"('smell instead', 0.004661199108016939)"
"('diaper tabs', 0.0046589844319784995)"
"('diaper tape', 0.004656849354200671)"
"('baby room', 0.004652675303399469)"
"('smell got', 0.004647166529800667)"
"('poopy smell', 0.004643810371681578)"
"('smell right', 0.0046420193475146514)"
"('pail loose', 0.004640521192728874)"
"('smell good', 0.004637001477431341)"
"('good smell', 0.004637001477431341)"
"('product apart', 0.004635639388422461)"
"('odorless plastic diaper pail', 0.004635580133266459)"
"('pee smell', 0.004634188132551531)"
"('diaper chump', 0.004631882863158415)"
"('poo smell', 0.004630564788202668)"
"('smell went', 0.004628448398346307)"
"('product worth', 0.004621849179942605)"
"('smell comments', 0.004621459567250858)"
"('diaper outside', 0.004619768446422638)"
"('smell getting', 0.004617589761481569)"
"('buy diaper genie refills', 0.004613375878464599)"
"('smell till', 0.00461109415752732)"
"('nasty smell', 0.0046109694858814665)"
"('smell factor', 0.004609927896317129)"
"('smell much', 0.004609286734044146)"
"('much smell', 0.004609286734044146)"
"('stinky smell', 0.004609091472446802)"
"('smell like', 0.004608145798540196)"
"('na smell', 0.004607098319313812)"
"('pail gets', 0.0046043060059181495)"
"('smell back', 0.0046041447237562955)"
"('great product', 0.004603328126064353)"
"('pail go', 0.004602106750183739)"
"('diaper sausage thing', 0.004602080548198248)"
"('daughters diaper', 0.004601444294853442)"
"('product uses', 0.00460106737681245)"
"('still smell', 0.004600331144005109)"
"('smell still', 0.004600331144005109)"
"('smell free', 0.004600220873649026)"
"('diaper pale', 0.004599900894895981)"
"('pail stinks', 0.004598943091386719)"
"('smell leak', 0.004595214506867566)"
"('diaper wrap', 0.004595011111856897)"
"('smell must', 0.004593263888296081)"
"('pail today', 0.0045925058065442535)"
"('diaper changing', 0.004592418366785611)"
"('controls smell', 0.004592351592371026)"
"('good pail', 0.004592127330666831)"
"('diaper shoot', 0.004585866219213884)"
"('diaper gets', 0.004584685797666414)"
"('insert diaper', 0.004583710310160442)"
"('diaper champs', 0.004583705206327778)"
"('diaper got', 0.004582672174784422)"
"('pail everyday', 0.004581225149478632)"
"('diaper disposal', 0.004581168772764105)"
"('diaper pails', 0.004580091996101708)"
"('poopy diaper', 0.004579316016665332)"
"('diaper solution', 0.004577007085778445)"
"('odor inside', 0.004575092035853464)"
"('diaper jam', 0.00457332333296356)"
"('dirty diaper odors', 0.004572822110811797)"
"('perfect product', 0.004568145844983653)"
"('diaper scent', 0.0045680593167594504)"
"('pail like', 0.004563271651775686)"
"('diaper makes', 0.00456088139656437)"
"('makes diaper', 0.00456088139656437)"
"('pail back', 0.004559270576991786)"
"('diaper genies', 0.004556699314317104)"
"('pail starts', 0.004553666324911477)"
"('okay product', 0.004552102256582304)"
"('pail however', 0.00455080280383627)"
"('pail must', 0.004548389741531571)"
"('pail locks', 0.004547359472925189)"
"('nasty diaper', 0.004546475130865221)"
"('neat diaper', 0.004545971309749272)"
"('stinky diaper', 0.004544597117430557)"
"('diaper like', 0.00454365144352395)"
"('room smell kind', 0.004543543501984376)"
"('diaper within', 0.00454267049173111)"
"('diaper ball', 0.0045424803340678365)"
"('diaper gennie', 0.0045412303883321185)"
"('diaper back', 0.00453965036874005)"
"('diaper dumpster', 0.004536137875838772)"
"('diaper needs', 0.004528772582913214)"
"('diaper gives', 0.00452832309207419)"
"('empty toddler diapers', 0.00452822851808915)"
"('super product', 0.004527610033245795)"
"('product gets', 0.004520366549301762)"
"('product stinks', 0.004515003634770331)"
"('trash bags', 0.004511691467905921)"
"('dirty diapers inside', 0.004510632397048146)"
"('good product', 0.0045081878740504434)"
"('product makes', 0.004496562148199718)"
"('kitchen trash bag', 0.004495711036040735)"
"('size trash bag', 0.00449444604837352)"
"('awesome product', 0.004482173042941038)"
"('stinky product', 0.004480277869065905)"
"('product back', 0.004475331120375398)"
"('cheap trash bag', 0.004472024831651349)"
"('quality product', 0.004465129986224464)"
"('genie refills', 0.004450930140435687)"
"('dirty diapers stink', 0.004445122058761956)"
"('odor problems', 0.004439151611626332)"
"('week', 0.004436222226720619)"
"('poop odor', 0.004420623120885097)"
"('odor one time', 0.004418680866092904)"
"('trash bag stinks', 0.00435427533424071)"
"('plain trash bag', 0.0043411955801585375)"
"('gallon trash bag', 0.004332756913956682)"
"('use cloth diapers', 0.004331510919096394)"
"('simple trash bag', 0.004325096709777899)"
"('odors', 0.004290379005316749)"
"('use odor', 0.004286986392668466)"
"('size one diapers', 0.004276383636132783)"
"('flip makes diapers', 0.004263045680699488)"
"('stinky toddler diapers', 0.004252608166933596)"
"('dirty diapers drop', 0.004251272227824942)"
"('thing holds dirty diapers', 0.004250519093145862)"
"('odor well', 0.004244094032811252)"
"('odor seal', 0.004237291850531578)"
"('bags inside', 0.004232180537819717)"
"('odor etc', 0.004218526868236766)"
"('genie bags everytime', 0.004211995056146392)"
"('empty garbage bag', 0.004202190345687518)"
"('newborn size diapers', 0.004198869095584981)"
"('bag works well', 0.004168383566654387)"
"('odor free trash bags', 0.004167401802786622)"
"('keeps odor', 0.004147843826713294)"
"('odor ring thing', 0.004138966621639565)"
"('throw dirty diapers', 0.0041379375081308616)"
"('poopy diapers get', 0.004113115667977004)"
"('holds dirty diapers', 0.004107513133189781)"
"('kitchen garbage bag', 0.004091156206801607)"
"('odor complaints', 0.004085064213437029)"
"('room', 0.004079939432261274)"
"('poop bags', 0.004077711622851351)"
"('cheap garbage bag', 0.004067470002412221)"
"('odor issue', 0.0040661109781583325)"
"('dirty diapers outside', 0.004065340416783957)"
"('store bags', 0.004058543699875393)"
"('hold dirty diapers', 0.004055214341431041)"
"('let poopy diapers', 0.004053996571896876)"
"('tie dirty diapers', 0.004043448634571289)"
"('dirty diapers go', 0.0040404858137902)"
"('dirty diapers right', 0.004037178114167802)"
"('store plastic bag', 0.004021515058710398)"
"('like dirty diapers', 0.004014595748184832)"
"('stores dirty diapers', 0.0040132203617680535)"
"('keeping dirty diapers', 0.004010510316666486)"
"('odor control', 0.003989947653784809)"
"('control odor', 0.003989947653784809)"
"('garbage bag tip', 0.003988225012418553)"
"('plastic bag plus', 0.00398811335388523)"
"('first years product', 0.003985594933635585)"
"('holds odor', 0.003970413140065917)"
"('diapers got caught', 0.0039702036602790565)"
"('recommend leaving diapers', 0.003967782892307416)"
"('garbage bag instead', 0.003961308418245389)"
"('uses odor', 0.003952772244211644)"
"('son', 0.003945343723687825)"
"('use bags', 0.003944074894634719)"
"('start changing diapers', 0.0039431347647534915)"
"('newborns poopy diapers', 0.003942870144843323)"
"('uses one bag', 0.0039407049207793735)"
"('still hold diapers', 0.00393640975838407)"
"('pee pee diapers', 0.003935724046843032)"
"('bag changing mechanism', 0.003931944049032813)"
"('odor complaint', 0.003931655849658067)"
"('poo poo diapers', 0.003930892921044548)"
"('odor issues', 0.003929659068251538)"
"('one diaper genie refill', 0.003928255180021092)"
"('glad odor', 0.003926678220917235)"
"('change bags', 0.003922772255158956)"
"('diapers still go', 0.003921681230743229)"
"('empty plastic bag', 0.003917487102236592)"
"('garbage bag needs', 0.003916020304853736)"
"('odor free room', 0.003908721235865307)"
"('room odor free', 0.003908721235865306)"
"('garbage bags', 0.003904859224047229)"
"('champ works great', 0.003893174080151858)"
"('older childs diapers', 0.0038925477252887853)"
"('hold odor', 0.0038919649524278076)"
"('bags cost', 0.0038911193089929837)"
"('plastic bag works', 0.003886131449383276)"
"('stinky diaper smells', 0.0038770767673298005)"
"('bags twice', 0.0038770652875083317)"
"('bags etc', 0.00387561537020302)"
"('keep diaper smells', 0.0038736870063085967)"
"('putting odor', 0.0038731006245190523)"
"('keeping diaper smells', 0.003872360886540384)"
"('odor gets', 0.0038720714167009562)"
"('help odor', 0.003866713273862949)"
"('toddler poop smell', 0.003861626641597695)"
"('good odor', 0.003859892741449638)"
"('day trash bags', 0.003843856565686659)"
"('odor rating', 0.003837432705438536)"
"('odor containing', 0.003836097225680156)"
"('containing odor', 0.003836097225680156)"
"('right size bag', 0.003834651145435707)"
"('nasty odor', 0.0038338607498997635)"
"('much odor', 0.003832177998062443)"
"('odor back', 0.003827035987774592)"
"('keep odor', 0.003826898094933294)"
"('odor discs', 0.003825464255145089)"
"('keeping odor', 0.003824908915280975)"
"('odor free', 0.0038231121376673233)"
"('leak odor', 0.0038181057708858634)"
"('bags keeps', 0.0038049323286795476)"
"('house smell free', 0.0037951627771813964)"
"('baby nursery', 0.0037907079881388138)"
"('buying bags', 0.003788079735877699)"
"('refill bag like', 0.003774319266483222)"
"('keep one champ', 0.003774286694323081)"
"('refill plastic bag', 0.00376743846271395)"
"('ones like diaper genie', 0.0037531147970071175)"
"('kitchen bags', 0.003735950556835817)"
"('size bags', 0.003734053075334993)"
"('room smells like dirty diapers', 0.0037331525487888117)"
"('purchase bags', 0.0037322391738347717)"
"('pail gets stuck', 0.0037299804033181574)"
"('chamber like diaper genie', 0.0037237158822414273)"
"('sausage tube bag', 0.003723007606254962)"
"('buy bags', 0.003720295737494308)"
"('diaper gets stuck', 0.0037169002644836663)"
"('diaper got stuck', 0.0037155578492290057)"
"('bags helps', 0.0037137813386509196)"
"('diaper getting stuck', 0.0036958400036829395)"
"('baby item', 0.003694321600755597)"
"('bags anyway', 0.003680705541088247)"
"('refill bags', 0.003677428805880721)"
"('bag fits right', 0.0036667060700969257)"
"('bag starts getting', 0.0036480095296306816)"
"('smells like dirty diapers', 0.003646455827920696)"
"('plastic bag like', 0.003641236301809967)"
"('poopy smell inside', 0.00363740551750292)"
"('us plastic bag', 0.003630604267917087)"
"('thing smells', 0.0036107865200711974)"
"('champ hold tons', 0.003601950479612681)"
"('line bags', 0.003601659045361106)"
"('glad bags', 0.0035837667228834887)"
"('bags caught', 0.0035529089214409826)"
"('product works well', 0.0035519832120332346)"
"('replacement bags', 0.0035462679971560674)"
"('bags instead', 0.0035411788740014895)"
"('changing bags', 0.003536892487786407)"
"('diaper pails stink', 0.003529416262163484)"
"('bags help', 0.003523801775829203)"
"('daughter', 0.0035141851194492933)"
"('bags take', 0.0035132170774358758)"
"('smell like poop', 0.003510649858763088)"
"('use odorless pail', 0.0035080148600337875)"
"('sausage bags', 0.0035078264567911144)"
"('bags makes', 0.003505355517565166)"
"('money', 0.0034963535759370756)"
"('gallon bags', 0.003491519373709737)"
"('awesome bags', 0.0034909664123064866)"
"('much bags', 0.003489266500028697)"
"('week smells', 0.003489129146924454)"
"('stinky bags', 0.003489071238431353)"
"('replace bags', 0.0034886129910660655)"
"('bags like', 0.0034881255645247463)"
"('gallons bags', 0.003487502620388825)"
"('diaper like babies', 0.0034844617677666015)"
"('litter bags', 0.003481230167635559)"
"('free bags', 0.003480200639633577)"
"('bags cause', 0.0034799972236430753)"
"('plastic bags', 0.0034778043588708386)"
"('diaper disposal unit', 0.0034742008885212164)"
"('babiesrus bags', 0.003472637733959825)"
"('sassy bags', 0.003471432372722966)"
"('way', 0.003470768087547371)"
"('garbage bag works fine', 0.003447124279932962)"
"('diaper decor plus', 0.003446141816547042)"
"('day garbage bags', 0.0034393017364475315)"
"('great diaper garbage', 0.0034350826434862117)"
"('kitchen trash bag instead', 0.0034324313974078385)"
"('thing holds dirty stinky diapers', 0.003428090716590465)"
"('refills', 0.00342552787539662)"
"('diaper changing times', 0.0034231167928416933)"
"('pail works great', 0.0034152354902123564)"
"('diaper pails use', 0.003402856171659675)"
"('first dirty diaper', 0.0034020370738126944)"
"('one dirty diaper', 0.003399622090656135)"
"('change diaper pails', 0.0033886544120091656)"
"('genie hands', 0.0033707230889925555)"
"('problem', 0.003364081014043475)"
"('dirty diapers still stink', 0.0033640556824428396)"
"('product works great', 0.003359275852468098)"
"('plastic garbage pail', 0.0033586180246147276)"
"('use trash bags', 0.00335725581952915)"
"('diaper disposal mechanism', 0.0033509234639737587)"
"('change trash bags', 0.0033430540598786405)"
"('odor free nursery', 0.00333407635902487)"
"('great diaper container', 0.0033165187868684234)"
"('room smells', 0.0033109877496947816)"
"('one poopy diaper', 0.003309803659393476)"
"('months use', 0.0033090136499814514)"
"('one diaper makes', 0.0032975139126595015)"
"('diaper disposal system', 0.0032924222080302893)"
"('get diaper pails', 0.003287228302641191)"
"('baby poop', 0.0032705345768732673)"
"('awesome diaper system', 0.003269304553724679)"
"('neat diaper system', 0.003268957232687067)"
"('diaper system like', 0.0032674106552035196)"
"('leak odor something', 0.0032672610287951876)"
"('baby home', 0.0032599517027929624)"
"('diaper disposal container', 0.0032588663857584903)"
"('baby store', 0.0032513666538973103)"
"('dirty diaper seems', 0.003243294469036285)"
"('trash bags work', 0.0032350747490873075)"
"('spray outside pail', 0.003234072199632397)"
"('smell tons worse', 0.0032306650336377516)"
"('diaper pails let', 0.003228109206561063)"
"('diaper disposal products', 0.003225429592051658)"
"('kitchen trash bags', 0.003218506260996548)"
"('nursery room', 0.0032179721170006188)"
"('size trash bags', 0.0032172412733293327)"
"('velcro diaper tabs', 0.0032153176063295756)"
