"('years', 0.009188583722478128)"
"('one works', 0.002560722435209567)"
"('job', 0.002522948975343113)"
"('good thing', 0.0024723785013990992)"
"('one item', 0.002454801085164095)"
"('good price', 0.002389539637679087)"
"('month', 0.00235700354845068)"
"('wife love', 0.002345957597692242)"
"('one thing', 0.00232234330639458)"
"('bought', 0.0022635962074390487)"
"('day chopping', 0.0022519869118833805)"
"('salad', 0.0022371030029354664)"
"('way', 0.002215841984068648)"
"('mini blender', 0.002209325717562501)"
"('one day', 0.002188570341622671)"
"('easy', 0.002114328950571045)"
"('mom', 0.002099283303377489)"
"('cup', 0.0020950839808515542)"
"('box', 0.0020763257218375936)"
"('good job', 0.002062741724628757)"
"('store bought', 0.002045989980632379)"
"('fine job', 0.002022725644137353)"
"('chopping things', 0.0020093990043352117)"
"('chopping onion', 0.0019952899975158923)"
"('anyone', 0.0019442202117623238)"
"('brand', 0.0019210225161387215)"
"('good way', 0.0019091882289915246)"
"('hand', 0.0018796173821825331)"
"('year', 0.0018667541253495484)"
"('store', 0.0018283837538257092)"
"('bought one', 0.001783030145672206)"
"('gift', 0.0017740193412203948)"
"('seconds', 0.0017619813147399367)"
"('point', 0.0017117370776418938)"
"('stars', 0.0017058802602746726)"
"('carrots', 0.001701557104282493)"
"('mini', 0.0016972456375516816)"
"('wife', 0.0016788084618033021)"
"('well', 0.0016785279706031575)"
"('anyway', 0.0016603491059235113)"
"('mini chopper', 0.001658596061701646)"
"('nothing', 0.0016557317161134343)"
"('chopper', 0.0016199464858516104)"
"('good', 0.0016025344739144013)"
"('one year', 0.0015846091046274558)"
"('everything', 0.0015752542849931652)"
"('good reviews', 0.0015301657451155422)"
"('fine', 0.0015225023129315925)"
"('work well', 0.0014847433197329872)"
"('one anyway', 0.0014814065949144374)"
"('pieces', 0.0014807137334778083)"
"('reviews', 0.0014577970163166829)"
"('chopping', 0.001429297224426782)"
"('family', 0.00142796612209907)"
"('seller', 0.0014053207341710326)"
"('chopping jobs', 0.0013868580320034185)"
"('bit', 0.0013682081888200667)"
"('chopping tasks', 0.0013580956397909478)"
"('chops', 0.0013552509975254827)"
"('difference', 0.0013522337741499497)"
"('dishwasher', 0.0013485847303444445)"
"('loud', 0.0013452700430638578)"
"('jobs', 0.0013444188395800548)"
"('mother', 0.0013378635082852356)"
"('one chops', 0.001328857540715423)"
"('one', 0.0013024640839053633)"
"('vegetables', 0.001295458140652237)"
"('quality', 0.0012953438377148175)"
"('longer', 0.0012939717191722863)"
"('work', 0.0012909586688628172)"
"('tasks', 0.0012868940551551133)"
"('pestos', 0.0012827032956861076)"
"('morning', 0.0012791588813055607)"
"('months', 0.0012678557051992916)"
"('coffee', 0.001264533102561484)"
