"('diaper', 0.019511903381941646)"
"(""genie 's"", 0.0073386367872030405)"
"('diapers inside', 0.0073286920751110185)"
"('use scented bags', 0.007291959036251748)"
"('bad diapers', 0.00728997783812043)"
"('eliminate poopy diaper odor', 0.0071905908090967585)"
"('use old', 0.007165966613231017)"
"('odor', 0.007141044394218658)"
"('several diaper tabs', 0.0070826045777791025)"
"('several diaper genies', 0.007029510188280346)"
"('open bag', 0.006943501733542776)"
"('diaper tabs get caught', 0.006892702788488906)"
"('baby', 0.0068855072109809895)"
"('smell thing', 0.0068830883403717905)"
"('diapers stink', 0.006873771031908147)"
"('stinky diapers', 0.006775130802672283)"
"(""'s great"", 0.006767888158096601)"
"('poopy diapers', 0.006767516533264592)"
"('trash bag', 0.006758112434314394)"
"('gets use', 0.006717475034698578)"
"('trash bags', 0.006692040650895004)"
"('throw diapers', 0.006649790253396055)"
"('changed diapers', 0.006647063802221539)"
"('smell good', 0.00662386431639012)"
"('toddler diapers', 0.006621022854231405)"
"('get baby', 0.006611418807130426)"
"('use regular trash bags', 0.00660880479425468)"
"('kids diapers', 0.006594887373807999)"
"('cloth diapers', 0.006570137074005777)"
"('larger diapers', 0.006533132847287213)"
"('use regular', 0.006525568937614356)"
"('genie', 0.00651567424281874)"
"('pail open', 0.00645378648484304)"
"('use scented trash bags', 0.006453405245384878)"
"('smell inside', 0.006449769977467846)"
"('diapers get bigger', 0.0064493732155557456)"
"(""'s time"", 0.006438477512046846)"
"('put dirty diapers', 0.006437960673964457)"
"('infant diapers', 0.006418742615138548)"
"('bad smell', 0.006411055740477258)"
"('use cost', 0.0063945038578732795)"
"('first champ', 0.00636828274748953)"
"('champ first', 0.00636828274748953)"
"('disposable diapers', 0.006358026443343725)"
"('get', 0.006337330403279863)"
"('use regular garbage bags', 0.006303843803244682)"
"(""'s easy"", 0.006287838000681556)"
"('new bag', 0.006267247243752863)"
"(""baby 's room"", 0.006213234104535409)"
"('use scented garbage bags', 0.00614844425437488)"
"('garbage bag', 0.006148190452294396)"
"('champ makes', 0.006102187456999903)"
"('garbage bags', 0.006082118668875007)"
"('one-handed use', 0.006056566110092224)"
"('product', 0.00605056006289634)"
"('use grocery', 0.006047995834383245)"
"('bag inside', 0.00604101798095696)"
"('smell anything', 0.006012560411845461)"
"('bags inside', 0.005974946197537571)"
"('smell something', 0.005962626812743249)"
"('dirty diapers go', 0.005944237881611326)"
"('full bag', 0.005943571150435915)"
"('bag full', 0.005943571150435915)"
"('nursery smell', 0.005899624394623422)"
"('stinky smell', 0.005896208705029111)"
"('poopy smell', 0.00588859443562142)"
"(""baby 's changing"", 0.00587602570071184)"
"('smell much', 0.005833943042265631)"
"('change', 0.005806058477589201)"
"('plastic bag', 0.0057980444415964335)"
"('champ last', 0.00579589865324688)"
"('bag gets', 0.005768559478219264)"
"('smell like', 0.005750703528051171)"
"('plastic bags', 0.005731972658177044)"
"('champ made', 0.005731532838766648)"
"('old pail', 0.005727335808051968)"
"('great product', 0.0057123685237511004)"
"('bag spray', 0.005709218521488285)"
"('wonderful smell', 0.005701373544468517)"
"('special bags', 0.005690981929560927)"
"('garbage pail', 0.005658475203594661)"
"('hold dirty diapers', 0.005653965925059186)"
"('expensive bag', 0.005600170672414636)"
"('inside pail', 0.005551302732257225)"
"('keep odor', 0.005539231194643028)"
"('expensive bags', 0.005534098888995247)"
"('buy special bags', 0.005527519094791944)"
"('smell everytime', 0.005519422934058072)"
"(""'s good"", 0.005506671487750647)"
"('using cloth diapers', 0.005500733556394532)"
"('new trash bag', 0.0054907461200966665)"
"('store bags', 0.005482984676112392)"
"('buy expensive bags', 0.00542293040108149)"
"('extra bag', 0.005408854695324897)"
"('refill bag', 0.005407811476820174)"
"('change bags twice', 0.005396521510327071)"
"('bags cost', 0.005379516517974576)"
"('great', 0.00537417698460586)"
"('refill bags', 0.005341739693400785)"
"('bag outside', 0.005323856862363929)"
"('kitchen bag', 0.0053187087065608716)"
"('bags helps', 0.005295973039184314)"
"('buy refill bags', 0.005294690937351849)"
"('great buy', 0.005287385204929919)"
"('bags like', 0.005275879748120895)"
"('kitchen bags', 0.005252636923141482)"
"(""'s full"", 0.005235130318307329)"
"('remove bag', 0.00521325152318043)"
"('little good smell', 0.0052061745798049446)"
"('buy', 0.005200593425253978)"
"('larger bags', 0.005179386969713765)"
"('bag changes', 0.00514270873381692)"
"(""son 's"", 0.005119487321111761)"
"('bag closed', 0.005113160422694712)"
"('grocery bag', 0.005099080277903931)"
"('use scented garbage', 0.005049146529497927)"
"('grocery bags', 0.005033008494484542)"
"('gallon bags', 0.005023177502903428)"
"('bags required', 0.005016419371034536)"
"(""'s better"", 0.00500890267764627)"
"('regular trash bags', 0.004986302356071858)"
"(""'s simple"", 0.004977751193930557)"
"('new baby', 0.0049207603513211)"
"('baby go', 0.004909049873560685)"
"('kitchen trash bag', 0.004858387095302005)"
"('odor inside', 0.004822299680144032)"
"('kitchen trash bags', 0.004814339239689078)"
"(""let 's"", 0.004810283208940712)"
"('using regular bags', 0.004794363238867782)"
"('bad odor', 0.0047835854431534435)"
"(""'s nursery"", 0.004782431565983949)"
"('recommend', 0.0047553504159119075)"
"('odor problem', 0.004753031194745863)"
"('use clorox wipes', 0.004742170389336471)"
"(""'s job"", 0.004727197260868333)"
"('garbage bag better', 0.004717528976097997)"
"('time', 0.004715355692506349)"
"('use regular kitchen', 0.00470335809750198)"
"('old genie', 0.004685647680238816)"
"('special genie bags everytime', 0.004635124745297613)"
"(""'s worth"", 0.004613780499936935)"
"(""'s cheaper"", 0.00461206696126436)"
"(""baby 's changing table"", 0.004590104697805188)"
"('including cloth diapers', 0.0045860440512413975)"
"('need', 0.004581012377043124)"
"('larger diapers fit', 0.0045807251509192475)"
"(""'s kind"", 0.004532232912180668)"
"(""friend 's"", 0.004506940651025137)"
"('baby wipe', 0.004498396313967935)"
"('genie refills', 0.004479990873679106)"
"(""'s inexpensive"", 0.004470973334896919)"
"('uses garbage bags', 0.00446604530670792)"
"(""'s hard"", 0.004452874665826348)"
"('second baby', 0.004452393017829025)"
"('best baby', 0.004445189251293637)"
"('great odor control', 0.004438404932223161)"
"('odor problems', 0.004434877597467269)"
"('easy', 0.004414076669775771)"
"('put', 0.004413760913199772)"
"('kitchen garbage bags', 0.00440772458500908)"
"('get refills', 0.004390818953909668)"
"(""'s gone"", 0.00437996234050861)"
"('scented garbage bags', 0.004372488302898792)"
"('great thing', 0.0043721843382415766)"
"(""'s biggest"", 0.0043689433177269525)"
"('special expensive bags', 0.00433460806936887)"
"('buying special bags', 0.004326272721568723)"
"('enough garbage bag', 0.004316990293905427)"
"('open', 0.004308522471241037)"
"('purchase special bags', 0.00429748031204344)"
"('regular garbage pail', 0.0042972587245382965)"
"('great baby shower', 0.004296310861012959)"
"('used regular trash bags', 0.0042776122166596885)"
"('get used', 0.004244436100851521)"
"('toddler poop smell', 0.004197846670248539)"
"('purchase expensive bags', 0.004192891618332987)"
"(""'re great"", 0.004144243408429695)"
"('leave old diapers sitting', 0.004130722049638952)"
"('keeps odor', 0.004127093786262561)"
"('get stuck', 0.004108891187283947)"
"('day kitchen trash bags', 0.004094592892146365)"
"('plastic grocery bag', 0.004071922814385404)"
"('infant poop smell', 0.0040629931775199675)"
"('baby uses', 0.004059702896677369)"
"('works great', 0.004058631103596555)"
"('odor free', 0.0040556571472798175)"
"('area smell free', 0.004050288334119376)"
"('uses regular trash bags', 0.004048201412647331)"
"('keeping odor', 0.004033071365496302)"
"('plastic grocery bags', 0.004027874958772478)"
"('require special bags', 0.004022461747818418)"
"('odor contained', 0.00401210046176159)"
"(""son 's room smells"", 0.00400795739798164)"
"('special bags needed', 0.004005159269733954)"
"('control odor', 0.003970518906031812)"
"('odor control', 0.003970518906031812)"
"('takes regular trash bags', 0.003961647464198087)"
"('glad odor', 0.003956298419283923)"
"('baby stuff', 0.003944603873952261)"
"('need top', 0.003942357332600229)"
"('trash', 0.0039377438727842716)"
"('keep', 0.003937417995067399)"
"('scented baby', 0.0039193673909636755)"
"('odor free room', 0.003901303355199176)"
"('genie hands', 0.0038875029742670114)"
"('people get', 0.0038869931852191404)"
"('like using regular trash bags', 0.0038852511313247342)"
"('regular grocery bags', 0.003880280918464884)"
"('putting odor', 0.003863538474564402)"
"(""people 's reviews"", 0.003853724243738074)"
"('thing open', 0.0038393570815591646)"
"(""'ve used kitchen trash bags"", 0.003836483201355012)"
"('spray outside pail', 0.0038360797581534806)"
"('buy refills', 0.0038224504648967255)"
"('scented kitchen bags', 0.0038195004724097758)"
"('product makes', 0.0037632951896032817)"
"('get older', 0.003762061058281765)"
"('baby shower', 0.003757377799216509)"
"('uses regular garbage bags', 0.003743240421637333)"
"(""'s simple design"", 0.0037371738613092547)"
"(""little boy 's room"", 0.003715700750199116)"
"('take great', 0.0037117860670810923)"
"('gallon kitchen bags', 0.003701763807694695)"
"('keep clean', 0.003678865086332668)"
"('get stuff', 0.0036705154701016976)"
"('great reviews', 0.0036685472085371614)"
"('recommend changing', 0.0036681604877395486)"
"('get caught', 0.003614497263962835)"
"('keep odors', 0.0035964902774229873)"
"('room', 0.0035925957710378946)"
"('buy special', 0.0035681099276850476)"
"('wonderful product', 0.0035286610814835428)"
"('used baby store', 0.0035188936442077383)"
"(""daughter 's nursery"", 0.0034954745069523674)"
"(""child 's point"", 0.003452023991055943)"
"(""friend 's house"", 0.0034250639045668315)"
"('clean', 0.0034203121775979372)"
"('plastic grocery store bags', 0.003400814199884121)"
"('old trash', 0.0033966824952215815)"
"('easy problem', 0.00338954733252442)"
"('love', 0.003376931944675777)"
"('thing', 0.0033701916918772927)"
"('using', 0.0033619265211720407)"
"('first time', 0.0033617882948979126)"
"('wipes get stuck', 0.003356555779558843)"
"(""mom 's house"", 0.003350184884847105)"
"('baby gets older', 0.003343645628286223)"
"('great job', 0.0033334860873775922)"
"('uses regular kitchen bags', 0.00332849954877057)"
"('put things', 0.0033081863007056165)"
"('top', 0.003303702288157335)"
"('getting baby poo', 0.0032993091890355358)"
"('odors', 0.003255562559778576)"
"('baby waste gets', 0.003243071966778108)"
"('recommend buying', 0.003176102360748111)"
"('buy like', 0.0031530077462450156)"
"('open lid', 0.00313422681745201)"
"('good thing', 0.0031109676678956226)"
"(""'s much less expensive"", 0.003102822387274425)"
"('week', 0.0031017429665466376)"
"('great idea', 0.003086679365426906)"
"('worked great', 0.0030762507732944033)"
"('keep smells', 0.0030688385868662712)"
"('way', 0.0030546697092150824)"
"('handle', 0.003037443789856971)"
"('great deal', 0.0030089828212954643)"
"('much time', 0.0029936283940856616)"
"('week old', 0.0029786820421027647)"
"('new', 0.002956013491661211)"
"('trash day', 0.0029365488611512473)"
"('go', 0.002932592536140381)"
"('buy cheap', 0.0029259016278778424)"
"('people put', 0.002925208440179095)"
"('babies get older', 0.002924124751772228)"
"('big time', 0.0029238536160121997)"
"(""'re"", 0.0029143098322535295)"
"('odor control goes', 0.0029140685857608033)"
"('months', 0.002913381402312828)"
"('bad thing', 0.002898159091982761)"
"('months old', 0.00288450125998586)"
"(""'re good"", 0.002883026738083741)"
"('old', 0.0028556211176588918)"
"('good', 0.0028517436439139524)"
"('flip handle', 0.002847664921394196)"
"('bad odors', 0.0028408445259334027)"
"('month old baby boy', 0.002839319571353039)"
"('empty', 0.0028257135283529917)"
"('friend recommend', 0.00280381619318742)"
"(""'m using"", 0.0027925090421736442)"
"('old garbage', 0.0027867605132015846)"
"('comes time', 0.002768232305846929)"
"('keep buying', 0.0027671361503258567)"
"('hand', 0.0027608397751305914)"
"('regular trash', 0.0027562848196049203)"
"(""'re changing"", 0.002747640195910359)"
"('dirty', 0.002746291924540967)"
"('works', 0.0027430852225872504)"
"('recommend wiping', 0.0027291267056358173)"
"('garbage', 0.002717899908744277)"
"('best thing', 0.0026875314917417887)"
"('pull open', 0.0026615477767155905)"
"('flip', 0.002657886052931421)"
"('hand inside', 0.0026321973705999984)"
"('money', 0.0025979671498325948)"
"(""'ve"", 0.002587856489284647)"
"('changing', 0.002580970559567189)"
"('dont need', 0.002579884307522264)"
"('week take', 0.002575569058051481)"
"('want', 0.002563910339127042)"
"('put toys', 0.002532029118156237)"
"('good things', 0.002527177666062707)"
"('think', 0.002514482693574592)"
"('baby started eating solids', 0.0025065923379756633)"
"('inside', 0.0025035549660694053)"
"('outside trash', 0.0025034883008338074)"
"('kitchen trash', 0.00249834014503075)"
"('nursery room', 0.0024979297857092254)"
"('first go', 0.002470406716714929)"
"('first time mom', 0.0024504071670331928)"
"('getting', 0.002450044043734469)"
"('refills', 0.0024443075045394733)"
"('found using', 0.00244080831501672)"
"('little inside', 0.0024371750363519993)"
"('bad', 0.0024261264920882293)"
"('babies room', 0.002420423954895524)"
"(""'m changing"", 0.0024020310613712182)"
"('trash bin', 0.0023894388735873255)"
"(""'re better"", 0.002385257927979364)"
"('little', 0.002370795106634593)"
"(""'ve used"", 0.002369699143853912)"
"('problem', 0.002365017995273069)"
"('say enough great things', 0.0023578293143446958)"
"('flip top system', 0.002356652479862988)"
"('gets dirty', 0.0023524649425674896)"
"('keep emptying', 0.0023443317325645197)"
"('smells bad', 0.0023131928353766866)"
"('full', 0.0023086613050273164)"
"('wipe inside', 0.002307420191512143)"
"('dirty wipes', 0.002299088444324801)"
"('started using', 0.0022968029858190524)"
"('clean poop', 0.0022648253375835443)"
"('uses regular trash', 0.0022488227405278627)"
"('got good', 0.0022375015886039254)"
"('simple flip', 0.0022258945546025973)"
"(""'m"", 0.0022230915631752473)"
"('know', 0.0022192149455795636)"
"('top keeps', 0.0022084227332319)"
"('things', 0.002202611688211461)"
"('smells', 0.002200259178665144)"
"('bad reviews', 0.002194521962278346)"
"('stuck inside', 0.002192003468678718)"
"('getting stuck', 0.0021652480075112497)"
"('dirty wipes stuck', 0.002159542953312544)"
"('bottom', 0.0021595285280516514)"
"('used', 0.0021515417984231773)"
"('regular garbage', 0.002146362837584923)"
"('clean air', 0.0021459338624323257)"
"('try changing', 0.0021440690743455624)"
"('hand store', 0.0021402358491748198)"
"(""'m sure"", 0.0021382951595771164)"
"('gets full', 0.0021336496328106646)"
"('mechanism works', 0.002126348783467776)"
"('comes clean', 0.002120710548392723)"
"('make', 0.002116177117098617)"
"('little better', 0.0021135005651698956)"
"('wipe', 0.0021112854169548813)"
"(""'ve got"", 0.002105558011289273)"
"('area clean', 0.0021024611453744)"
"('little bit', 0.00209841457349841)"
"('clean mine', 0.002086627674815938)"
"('make sure', 0.0020848379365388013)"
"('son', 0.0020773753106361815)"
"('room reeks', 0.0020766775125379755)"
"('little lysol', 0.002074649825576602)"
"('good job', 0.0020722694170316387)"
"('try something new', 0.0020641499058017855)"
"('hold', 0.002061776666483958)"
"('smelled odors', 0.002057686668792627)"
"('sure', 0.002053498755978985)"
"('take', 0.0020493951495563247)"
"('want something', 0.002046589487873626)"
"('expensive refills', 0.0020330839267621156)"
"('buying refills', 0.0020205809050618936)"
"('second', 0.002019278824677061)"
"('whole top', 0.0020179971927737185)"
"('plastic', 0.0020176078873483513)"
"('first start using', 0.002016591820700045)"
"(""'re trying"", 0.0020149146527209177)"
"(""'re like"", 0.0020098659497447915)"
"('first', 0.0020082208972894765)"
"('best', 0.0020048712916062843)"
"('better used', 0.002003873911064188)"
"('hands works best', 0.002002429406636273)"
"('little lysol spray', 0.001996418566095086)"
"('eliminate odors', 0.0019918870688143773)"
"('weeks old', 0.0019914555901791964)"
"('getting something', 0.0019896563401773397)"
"('first day', 0.0019717873734038495)"
"('reviews', 0.0019629174324684627)"
"('lid', 0.001959931163662983)"
"('gets', 0.0019586379605940124)"
"('little difficult', 0.0019507895247896033)"
"('outside trash bin', 0.001949370158685998)"
"('top enough times', 0.0019408124041160183)"
"('little mechanism', 0.001940203725491447)"
"(""'re looking"", 0.0019392779955270372)"
"('hand trying', 0.0019381796241594485)"
"('special', 0.0019356264301161174)"
"('day', 0.0019353538495182228)"
"('works like', 0.0019242536449116522)"
"('know anything', 0.0019241753902020983)"
"('year old', 0.0019211103020778915)"
"('extra money', 0.0019185977723189373)"
"(""'m buying"", 0.0019099729343797808)"
"('outside garbage', 0.00189356631881381)"
"('garbage outside', 0.00189356631881381)"
"('kitchen garbage', 0.0018884181630107527)"
"('hands inside', 0.001881443335892344)"
"('stuck', 0.0018804519712880305)"
"('works wonderful', 0.0018749236613289982)"
"('month old', 0.0018669791414472657)"
"('free hand', 0.0018655548377357846)"
"('times', 0.001864144947063233)"
"('purchase expensive refills', 0.0018588816435108995)"
"('better', 0.0018562060237051984)"
"('wipes', 0.001851884964108635)"
"('wrong way', 0.001843751308250586)"
"('spray', 0.0018399560471320548)"
"('new parents', 0.001836914105744098)"
"(""'re taking"", 0.001829346594340758)"
"('bit', 0.001826034040362227)"
"('least want', 0.0018254269133993009)"
"('looks good', 0.0018169498532713817)"
"('little babies', 0.001809523622693873)"
"('lysol spray', 0.001809230295825333)"
"('side handle trying', 0.0017960653555948198)"
"('simple', 0.0017939030562737733)"
"('go wrong', 0.0017827127217132355)"
"('little bit helps', 0.0017808125987865703)"
"('lysol', 0.0017785045445186112)"
"('smells less', 0.0017780939757628864)"
"(""'re going"", 0.0017744101510686681)"
"(""'re done"", 0.0017732056285069023)"
"('quot', 0.0017726299894540148)"
"('got stuck', 0.0017518557522909644)"
"('keeps odors contained', 0.0017506207557965207)"
"(""'ve noticed"", 0.001744535824951487)"
"('least bit full', 0.0017405462776870345)"
"('years old', 0.0017292227668737157)"
"('problems', 0.0017287108007158789)"
"('think twice', 0.0017258256589804347)"
"('good size', 0.001724037262397656)"
"('second child', 0.0017123423653685266)"
"('try', 0.0017071675891239357)"
"('first child', 0.0017068134016747344)"
"('inexpensive regular garbage', 0.0016910243377921141)"
"('bit difficult', 0.0016784089916534206)"
"(""'ve read"", 0.0016763844763085874)"
"('getting caught', 0.001670854084190138)"
"('hold much', 0.001666838881074466)"
"('keeps smells', 0.0016567011784858043)"
"('changing table', 0.0016566561243262108)"
"('smells like', 0.0016528406229505987)"
"('hassle getting', 0.001645723395688045)"
"('best part', 0.0016436783895593774)"
"('smelled bad', 0.0016429686349474538)"
"('opening', 0.0016369609681580253)"
"('older son', 0.0016320835119599242)"
"('anything', 0.001629135834824633)"
"('got', 0.0016232595332938984)"
"('expensive', 0.0016218603489847575)"
"('part gets', 0.0016205617240532414)"
"('think parents', 0.0016161487067007886)"
"('little bigger', 0.001613877582934668)"
"('plastic wrap', 0.001604713182522375)"
"('buying', 0.0015968543055843143)"
"('used regular kitchen', 0.0015951013273753248)"
"('stink', 0.0015937128796636613)"
"('require expensive refills', 0.0015838630792858772)"
"('stuck part', 0.0015814687294002502)"
"('year old twins', 0.0015700569704234996)"
"('much better', 0.0015640535596850862)"
"('system first', 0.0015582949978948427)"
"('little hard', 0.0015574725533499735)"
"('bought', 0.0015539779121699143)"
"('item', 0.0015501590586561205)"
"('buying special ones', 0.0015420025341948732)"
"('refills needed', 0.0015389107273097416)"
"('easier', 0.001538360726036924)"
"('poop gets', 0.0015339882290815818)"
"('difficult', 0.0015307839429446139)"
"('something', 0.0015292686366202102)"
"('simple design', 0.0015249611261702112)"
"('toddler gets', 0.001523427242452095)"
"('found', 0.0015196901088613995)"
"('store', 0.0015196319232190479)"
"('little blue', 0.0015156089424442438)"
"('special ones', 0.0015145766485001528)"
"('purchase', 0.0015104770770084678)"
"('mechanism', 0.0015096123443483012)"
"('bottom making', 0.0015074885909570903)"
"('clorox wipe', 0.001504799756026258)"
"('recommended', 0.0015047935446949462)"
"('makes something', 0.0015026494764652167)"
"(""'m glad"", 0.0014973220037622181)"
"('less expensive', 0.0014888945609226932)"
"('days', 0.001487184328888176)"
"('work better', 0.0014851738708584767)"
"('turn', 0.0014840112332478671)"
"(""'m taking"", 0.0014837374598016169)"
"('makes', 0.001476030316310223)"
"('simple fact', 0.0014750482145638505)"
"('much better job', 0.001473634103173166)"
"('smells like poop', 0.0014716732478234496)"
"(""'m happy"", 0.001470421877307661)"
"('little loud', 0.0014672349029584203)"
"('keeping little ones', 0.001463140103430909)"
"('let', 0.0014589670862940828)"
"('least bit', 0.0014564887640168933)"
"('making sure', 0.0014544737049207571)"
"('second air', 0.0014454171859718873)"
"('like lysol', 0.0014419633058773325)"
"('people', 0.0014366559671584182)"
"('nothing gets', 0.0014259786534584497)"
"('cloth wipes', 0.0014191649639837783)"
"('problems like', 0.0014170664339759663)"
"('lot better', 0.0014148642338761856)"
"('child', 0.0014054059060599926)"
"('much easier', 0.001405130910850949)"
"('nursery', 0.0014032638003805562)"
"('many people', 0.0014006884209529914)"
"('dont know', 0.001398985591790484)"
"('stinky', 0.0013964324211919337)"
"('throw anything', 0.0013874435787320553)"
"('poopy', 0.001381203882376552)"
"('friends recommended', 0.0013795994503848885)"
"('clorox wipes', 0.0013750995296031349)"
"('purchase extra', 0.0013748527359068738)"
"('reading many reviews', 0.0013731606002959109)"
"('bit larger', 0.0013692352753920107)"
"('poop got', 0.0013662990154315246)"
"('design makes', 0.001366024756188436)"
"('many', 0.0013647208747475646)"
"('less', 0.001355928772860629)"
"('sure enough', 0.0013540443665532357)"
"('considering buying something', 0.0013464521280026956)"
"('tight lid', 0.001345411072295251)"
"('clorox lysol', 0.001338409319808123)"
"('first set', 0.001334538279122762)"
"('second positive', 0.001329193203494422)"
"('lot less expensive', 0.0013171038552975197)"
"('many others', 0.0013152196798410843)"
"('hole', 0.0013143301522218086)"
"('cost', 0.001312695606943416)"
"('lid everytime', 0.0013013960214564196)"
"('positive reviews', 0.001301012507390123)"
"('cylinder mechanism', 0.0012960950932441027)"
"('boy gets older', 0.0012944141551381046)"
"('job', 0.001292795190149325)"
"('able', 0.0012906688815399092)"
"('simple solution', 0.001289246915132079)"
"('believe anything', 0.0012884405867538535)"
"('part', 0.0012824854875124702)"
"('wonderful item', 0.0012784605793634332)"
"('larger opening', 0.0012746987392899098)"
"('much', 0.001271901095664974)"
"('much less effective', 0.0012663420629981834)"
"('others', 0.0012657184849346043)"
"('run', 0.0012631019054764499)"
"('house', 0.00126131041165022)"
"('hands', 0.001259331705715283)"
"('design', 0.0012560191960666492)"
"('considering buying', 0.0012550438736939383)"
"('friends', 0.0012544053560748307)"
"('babies', 0.0012482521387531533)"
"('stinky ones', 0.001244979644038061)"
"('solids', 0.0012448143059408333)"
"('smelled anything', 0.0012444733063156556)"
"('cost effective', 0.0012419459637061819)"
"('spray everytime', 0.0012414084631909555)"
"('extra', 0.0012392283948052796)"
"('regular grocery store', 0.0012380457498693213)"
"('refill', 0.0012371419577958333)"
"('side', 0.0012352328037391826)"
"('uses', 0.0012338985823737484)"
"('started', 0.001231679450466064)"
"('nails opening', 0.0012211758116700132)"
"('reading several reviews', 0.0012202526778158408)"
"('noticed something', 0.0012152418986192686)"
"('toss wipes', 0.00121384216091632)"
"('bit messy', 0.0012101792645405258)"
"('say', 0.0011999386074339768)"
"('anyone', 0.0011925687473144898)"
"('wrap', 0.0011918184776963988)"
"('older', 0.001186791713283667)"
"('purchased', 0.0011741916315356146)"
"('effective', 0.0011711963204689476)"
"('much cheaper', 0.0011672178433031768)"
"('couple clorox wipes', 0.0011636818103091895)"
"('say find', 0.0011599153962507263)"
"('fact', 0.0011561933728539277)"
"('plus', 0.0011503027220292623)"
"('holds several days worth', 0.0011475068183753837)"
"('throw', 0.0011457513226394776)"
"('helps', 0.0011456086493628905)"
"('big plus', 0.0011413271307736564)"
"('changed', 0.0011402984202904469)"
"('older ones', 0.0011401592900839275)"
"('said', 0.0011374865846995165)"
"('big', 0.0011323515395180504)"
"('holds', 0.0011308841690194753)"
"('weeks', 0.0011272900626995007)"
"('close', 0.001121037246401885)"
"('find', 0.0011198921850674758)"
"('say look', 0.0011172233524949027)"
"('trying', 0.0011155194731883057)"
"('free hands', 0.00111480080302813)"
"('work', 0.0011141417180117552)"
"('couple days', 0.0011140153503047374)"
"('keeps', 0.0011131431783064647)"
"('poop', 0.001109338497569151)"
"('system', 0.0011083690985002087)"
"('drop', 0.0011064995358313525)"
"('like', 0.0011054220672360537)"
"('latch', 0.0011052876594719293)"
"('stick', 0.0011028415797013865)"
"('child play', 0.0010967729067389827)"
"('weeks worth', 0.0010966258654930144)"
"('ones', 0.0010935268668841882)"
"('give', 0.0010918250773785316)"
"('toddler', 0.0010882165243101777)"
"('least', 0.0010869434876715598)"
"('review', 0.0010840422436935071)"
"('cylinder', 0.0010825778421399044)"
"('several friends', 0.0010802012316910928)"
"('anyone looking', 0.0010784074530575173)"
"('complaint', 0.00107800673464108)"
"('mess trying', 0.001073505968434585)"
"('look like', 0.0010699650823959412)"
"('thought', 0.0010699251171454194)"
"('grocery store', 0.0010696557415911974)"
"('outside', 0.0010692327288833428)"
"('worth', 0.0010659616682865284)"
"('much bigger', 0.0010644305774498587)"
"('cheaper', 0.0010625345909413798)"
