"('diaper', 0.028431697061120857)"
"('trash', 0.006096572182636446)"
"('purchase expensive bags', 0.0060910166387136205)"
"('diapers get bigger', 0.0060724965176520785)"
"('great baby shower', 0.005951563843429048)"
"('change bags twice', 0.005926780662482663)"
"('uses regular garbage bags', 0.005883966978733706)"
"('great odor control', 0.0058607185369120894)"
"('baby wipe', 0.00586026981971226)"
"('odor problems', 0.005860073987508355)"
"('baby store', 0.0057468134411701064)"
"('gallon kitchen bags', 0.005725212245394597)"
"('tall kitchen bags', 0.005686607686087059)"
"('bag gets heavy', 0.005588306540235634)"
"('wonderful product', 0.005458484525255778)"
"('get baby', 0.005443866117375214)"
"('baby stuff', 0.0053732996572517355)"
"('genie hands', 0.005364950627033252)"
"('keeps odor', 0.005343428769035228)"
"('odor free', 0.005311070840131995)"
"('tall kitchen garbage bags', 0.0053068553637773165)"
"('baby shower', 0.005283813454392715)"
"('thing', 0.005214845113015277)"
"('baby uses', 0.005212073994526866)"
"('uses regular kitchen bags', 0.005188297105862525)"
"('baby poo', 0.005185527199532126)"
"('glad odor', 0.0051853733209450215)"
"('odor control', 0.0051475454946172785)"
"('control odor', 0.0051475454946172785)"
"('spray outside pail', 0.00514291232661638)"
"('plastic grocery store bags', 0.005120729485140235)"
"('odor free room', 0.0050584328319416)"
"('great reviews', 0.005054683259534616)"
"('old trash', 0.005027985026862965)"
"('regular trash', 0.004870306026559598)"
"('top', 0.004805711170245727)"
"('good thing', 0.004780839761194151)"
"('toddler poop smell', 0.004724548519683253)"
"('great job', 0.004600729341502823)"
"('first time', 0.004577379379124566)"
"('room', 0.004553156815560809)"
"('great buy', 0.004521320059955888)"
"('infant poop smell', 0.004503451492272247)"
"('area smell free', 0.004457715163602887)"
"('way', 0.004408787239769206)"
"('use standard tall kitchen trash bags', 0.004389829915205804)"
"('handle', 0.004378137880450468)"
"('works great', 0.0043511975714529945)"
"('good', 0.004346834409373026)"
"('trash day', 0.004336558293555927)"
"('odors', 0.0043308046359061235)"
"('thing open', 0.0042775907562556574)"
"('week', 0.004242328970233426)"
"('great idea', 0.00424027682094112)"
"('money', 0.004221065074787888)"
"('baby gets older', 0.004218858718030443)"
"('bad thing', 0.004202080757737541)"
"('best thing', 0.004179551469350947)"
"('garbage', 0.004167598396848087)"
"('much time', 0.004155030144817319)"
"('week old', 0.004100863420661455)"
"('months', 0.0040968550563684255)"
"('old garbage', 0.004063498133968786)"
"('months old', 0.004028126463728955)"
"('take great', 0.004028059849878212)"
"('big time', 0.004005814873192865)"
"('baby waste gets', 0.003985520554316128)"
"('month old baby boy', 0.003979685536000815)"
"('old', 0.003959397871089485)"
"('dirty', 0.003927290451847377)"
"('regular garbage', 0.0039058191336654186)"
"('sure', 0.003831424337822156)"
"('new', 0.0038309955168393216)"
"('hand', 0.0038182373226119384)"
"('bad odors', 0.003760060519182964)"
"('enough great things', 0.0037449515284866063)"
"('kitchen trash', 0.0037407455439999043)"
"('good things', 0.003663509183103829)"
"('outside trash', 0.0036240272483789855)"
"('refills', 0.003555083740355998)"
"('trash bin', 0.0035434982557484705)"
"('uses regular trash', 0.003524266561274592)"
"('room smells', 0.0034647036226503093)"
"('tall trash', 0.0034397171593174287)"
"('hand inside', 0.0033512537882132033)"
"('first time mom', 0.003342718455081118)"
"('open', 0.0033403363994960384)"
"('problem', 0.003331602091699714)"
"('open lid', 0.0032790430901343875)"
"('babies room', 0.0032764476513933443)"
"('lid', 0.003217749780772736)"
"('special', 0.0032064961448500036)"
"('bad', 0.003189316402459805)"
"('flip handle', 0.003186242301722278)"
"('nursery room', 0.0031844532096267065)"
"('clean', 0.003172294237179973)"
"('better', 0.0031711909806048637)"
"('use old', 0.003170685480327693)"
"('little better', 0.0031607157985312335)"
"('full', 0.00315487364933824)"
"('little', 0.003150240616457603)"
"('best', 0.0031442578256866164)"
"('good job', 0.0031306142354384794)"
"('top keeps', 0.0030740646199604615)"
"('side handle', 0.0030727333007983747)"
"('dirty wipes', 0.0030566703483269455)"
"('expensive refills', 0.0030563395739062814)"
"('inexpensive regular garbage', 0.0030359074474987893)"
"('little inside', 0.0030172554351360356)"
"('use regular', 0.0030130064800243253)"
"('bad reviews', 0.003005809150013662)"
"('things', 0.0029801839568346323)"
"('extra money', 0.0029555420198450442)"
"('little lysol', 0.0029437609568699064)"
"('inside', 0.0028842702538144677)"
"('hand store', 0.0028599519233015007)"
"('whole top', 0.002854262467151283)"
"('keeps odors', 0.0028366113527906597)"
"('flip top system', 0.0028361361925063303)"
"('reviews', 0.0028223018975675187)"
"('dirty wipes stuck', 0.002805416040338016)"
"('plastic', 0.002794362260002484)"
"('smells bad', 0.002782783416099807)"
"('little bit', 0.002782231520562342)"
"('kitchen garbage', 0.002776258651105725)"
"('first', 0.00277069352952703)"
"('weeks old', 0.0027606303614861804)"
"('bottom', 0.002755156771576398)"
"('outside trash bin', 0.002746159608539489)"
"('son', 0.002744988740114493)"
"('lysol', 0.0027372812972822095)"
"('top enough times', 0.0027197447499940296)"
"('anything', 0.002719583406770912)"
"('easier', 0.0027114557852487447)"
"('wrong way', 0.002701427775976651)"
"('buying refills', 0.0027003962686882018)"
"('room fresh', 0.002683721211735538)"
"('year old', 0.002682953640650588)"
"('little mechanism', 0.0026821857960908453)"
"('second', 0.0026752535287489347)"
"('first day', 0.0026736189670012187)"
"('laundry room', 0.002665796124901208)"
"('garbage outside', 0.0026595403554848063)"
"('outside garbage', 0.0026595403554848063)"
"('buy refills', 0.0026553296193830307)"
"('little difficult', 0.0026528543295450168)"
"('month old', 0.002622565235272725)"
"('gets dirty', 0.002605032834941644)"
"('stuck inside', 0.002593588839087313)"
"('day', 0.0025765444044754077)"
"('little babies', 0.0025749895518417413)"
"('good size', 0.0025680571239122783)"
"('expensive', 0.0025575954074565648)"
"('much better', 0.0025485930207587004)"
"('free hand', 0.002547969767240335)"
"('little lysol spray', 0.0025433167415215047)"
"('regular kitchen', 0.0025144793879230565)"
"('empty', 0.002513503731963027)"
"('wipe inside', 0.0025064247674449185)"
"('week take', 0.0025056920242440676)"
"('best part', 0.0025050692376342126)"
"('buy special', 0.0024810358216300335)"
"('try something new', 0.0024742814096381117)"
"('use regular kitchen', 0.0024703106218040044)"
"('quot', 0.0024625645034881643)"
"('something', 0.0024343848916346866)"
"('get refills', 0.0024254278083786374)"
"('bit', 0.0024142224246670803)"
"('special ones', 0.0024030276177384726)"
"('sure enough', 0.0023995151724728143)"
"('least bit full', 0.0023968690990839457)"
"('years old', 0.002393863699675352)"
"('times', 0.00238591707261289)"
"('use', 0.0023819730895659006)"
"('lot better', 0.0023795825206436205)"
"('clean poop', 0.0023779502226730018)"
"('smells', 0.002376250429739809)"
"('problems', 0.0023757085066214495)"
"('little ones', 0.002374899853542272)"
"('simple', 0.002345286587658972)"
"('much better job', 0.0023371933676737777)"
"('much easier', 0.0023187254230806406)"
"('new parents', 0.0023147805144881324)"
"('purchase expensive refills', 0.0023120305465324843)"
"('stuck', 0.0023029074243601584)"
"('first child', 0.0022912806707580035)"
"('bit difficult', 0.0022848452336497556)"
"('item', 0.002267700379807356)"
"('older son', 0.0022634146589103803)"
"('hands inside', 0.0022548456472628745)"
"('second child', 0.0022435606703689556)"
"('lysol spray', 0.0022398548040534557)"
"('system first', 0.0022395221069031034)"
"('little bit helps', 0.002238444003462866)"
"('gets full', 0.0022188244336870757)"
"('buying special ones', 0.002217254677499117)"
"('mechanism', 0.002214130975724087)"
"('less expensive', 0.002212667792332811)"
"('wipes', 0.0021860502448065137)"
"('simple flip', 0.00216981665532653)"
"('area clean', 0.0021681271155462264)"
"('little bigger', 0.0021649645910574097)"
"('difficult', 0.002155468042632431)"
"('regular grocery store', 0.0021468511780472683)"
"('buying something', 0.002140046844327546)"
"('little hard', 0.002128650332667943)"
"('wipe', 0.0021285792810753694)"
"('smells less', 0.0021219953034744333)"
"('much less expensive', 0.0021171102151927197)"
"('little boy', 0.0021159459657831324)"
"('year old twins', 0.002111042399708853)"
"('poopy', 0.0021007541576269096)"
"('clean mine', 0.002098470771688682)"
"('stuck part', 0.002084394036970984)"
"('clean air', 0.002078200302960127)"
"('little blue', 0.0020776836857582474)"
"('hands works best', 0.002061669795934058)"
"('clorox lysol', 0.002051670168518886)"
"('simple design', 0.0020261572820433806)"
"('least bit', 0.0020178668239567987)"
"('tight lid', 0.0020125806271188706)"
"('days', 0.0020092211725464167)"
"('lot less expensive', 0.002004436548449333)"
"('babies', 0.0019997384872258795)"
"('flip', 0.0019943467229940883)"
"('use cost', 0.0019928757499243187)"
"('others', 0.0019883553293561784)"
"('use clorox wipes', 0.001978027458042659)"
"('full laundry', 0.0019666545417899237)"
"('little tricky', 0.0019557718996257387)"
"('anyone', 0.0019457919718439613)"
"('stinky', 0.0019455294029376083)"
"('simple fact', 0.0019441947072385173)"
"('wipes get stuck', 0.001928243181855983)"
"('much', 0.0019259950609125365)"
"('job', 0.001914394061503933)"
"('store', 0.0019016665239910628)"
"('solids', 0.0018786790556785996)"
"('wonderful item', 0.0018684901594961758)"
"('less', 0.0018677401772090574)"
"('positive reviews', 0.0018671059863513166)"
"('part', 0.001865880649581809)"
"('keeps smells', 0.0018593342497075028)"
"('much less effective', 0.0018512574148650469)"
"('buying', 0.0018457087970204056)"
"('cylinder mechanism', 0.0018391466799338866)"
"('gets use', 0.001832374153800906)"
"('able', 0.0018314950727345632)"
"('second air', 0.001829679948744608)"
"('nursery', 0.0018157496036926041)"
"('mechanism works', 0.0018147307485641816)"
"('plastic wrap', 0.0018142191935268325)"
"('child', 0.0018118678119889767)"
"('friends', 0.0018111823092192328)"
"('bit larger', 0.0018107035825126352)"
"('plus', 0.0018100680786596723)"
"('get stuck', 0.0017993396503807179)"
"('cloth wipes', 0.0017950188616417625)"
"('second positive', 0.0017935818019420245)"
"('many others', 0.0017887413243924959)"
"('older', 0.0017818405777062676)"
"('clorox wipes', 0.0017760546422810383)"
"('first set', 0.0017748899487731716)"
"('stinky ones', 0.0017725442467822748)"
"('side', 0.0017673287211462819)"
"('reading many reviews', 0.0017628109431436668)"
"('stink', 0.0017618272600772884)"
"('effective', 0.0017600370064735462)"
"('buy', 0.0017555754984100629)"
"('much poop', 0.0017548006345392835)"
"('clorox wipe', 0.0017473191604154658)"
"('spray', 0.0017424283108247018)"
"('refill', 0.0017396669249806456)"
"('much cheaper', 0.0017218558687985101)"
"('big plus', 0.0017188162981616505)"
"('simple solution', 0.0017112670950098084)"
"('system', 0.0017083506842791763)"
"('design', 0.0017070279764277892)"
"('people', 0.001696227288496308)"
"('house', 0.0016949611967738306)"
"('babies get older', 0.001692450313777808)"
"('older ones', 0.0016906998341666046)"
"('extra', 0.0016900189649022002)"
"('reading several reviews', 0.0016838242256853406)"
"('cost effective', 0.0016819077083781416)"
"('mess', 0.001663478506457626)"
"('toddler', 0.0016585560658562786)"
"('many people', 0.0016426773039625608)"
"('use grocery', 0.0016384101146169458)"
"('one-handed use', 0.0016374418147760256)"
"('bit messy', 0.0016312364397781092)"
"('big', 0.0016275645176636287)"
"('hands', 0.0016254210407112817)"
"('several days worth', 0.0016250075032488258)"
"('least', 0.0016215112232465174)"
"('cost', 0.0016037784102827372)"
"('ones', 0.0015995590906269415)"
"('many', 0.0015891273194288136)"
"('lot', 0.0015879740606823771)"
"('bit tricky', 0.0015877628037304775)"
"('poop', 0.0015836062081660302)"
"('several friends', 0.0015816747381365342)"
"('part gets', 0.00157432793380886)"
"('weeks', 0.0015618628518828752)"
"('hole', 0.0015609383173023831)"
"('much bigger', 0.0015528418132848762)"
"('least twice', 0.0015462418902303257)"
"('convenient', 0.0015434065517014538)"
"('fact', 0.0015431028268180626)"
"('get older', 0.0015388062270537725)"
"('weeks worth', 0.00153774851101455)"
"('couple clorox wipes', 0.00152846735159328)"
"('couple days', 0.0015212569713820901)"
"('cheaper', 0.0015177166766844835)"
"('worth', 0.0015136341701462246)"
"('solution anyone', 0.001511519787102303)"
"('people get', 0.0014959995824487928)"
"('twice', 0.001470972557214134)"
"('wonderful', 0.0014692799391849958)"
"('cylinder', 0.0014641623841436862)"
"('free hands', 0.0014515616262900065)"
"('latch', 0.001446384258344683)"
"('works wonderful', 0.001442305230294636)"
"('much economical', 0.001440221943363864)"
"('poop gets', 0.0014331907131009706)"
"('change', 0.0014173274133344512)"
"('works', 0.0014153305214042763)"
"('kind', 0.0014108376969371487)"
"('year', 0.0014065094102116908)"
"('cloth', 0.0014039874784770113)"
"('one-handed job', 0.001403652300745042)"
"('grocery store', 0.0013982568318295268)"
"('husband', 0.00138650110611878)"
"('kitchen', 0.0013849189053633628)"
"('boy gets older', 0.0013820890369502798)"
"('much effort', 0.0013777724234128313)"
"('refill cartridges', 0.0013753233071347847)"
"('clorox', 0.0013660590397555625)"
"('several', 0.0013521671670538356)"
"('buy cheap', 0.0013491690413769764)"
"('keeps', 0.0013424180696751961)"
"('older model', 0.001341225294548073)"
"('friend', 0.0013061458225792069)"
"('soda', 0.0013045205064695445)"
"('perfect', 0.0013010881903631902)"
"('small hole', 0.0012999154680325114)"
"('big enough', 0.0012975852623935507)"
"('inexpensive', 0.0012960840751655316)"
"('get', 0.0012957718764012773)"
"('price', 0.0012887506655602787)"
"('daughter', 0.001286249348700994)"
"('month', 0.0012857325994559646)"
"('someone', 0.0012856093341115059)"
"('gets', 0.001282775218035911)"
"('several close', 0.0012783548264744503)"
"('free', 0.0012777022118687315)"
"('complaint', 0.0012668055157800697)"
"('nothing gets', 0.0012624139313870935)"
"('kids', 0.001257399391425639)"
"('purchase extra', 0.0012567157283435448)"
"('reason', 0.0012493231545551036)"
"('last complaint', 0.001248236934684914)"
"('nails', 0.0012480382008336899)"
"('toddler gets curious', 0.0012440328861697278)"
"('nothing', 0.001242052644738276)"
"('last', 0.001229668353589758)"
"('get stuff', 0.0012252054162777987)"
"('curious toddler', 0.0012246617202366361)"
"('love', 0.0012139667348482577)"
"('larger', 0.0012071847403581902)"
"('close', 0.0012045424858950651)"
"('changing', 0.0012018742171953538)"
"('hassle', 0.0011960240689274104)"
"('overall', 0.001195877445243627)"
"('idea', 0.0011934890203805263)"
"('last point', 0.0011892541729540754)"
"('toddlers', 0.001181002141083003)"
"('bigger', 0.001179688565657216)"
"('try changing', 0.0011796690188178405)"
"('tabs', 0.0011770652738996904)"
"('area', 0.0011639599939124794)"
"('try', 0.001157463820440327)"
"('purpose', 0.0011559337538313973)"
"('stuff', 0.00115463895615432)"
"('outside', 0.0011514823141215256)"
"('helps', 0.001150868969263914)"
"('point', 0.0011488399923183928)"
"('review', 0.0011409071946317708)"
"('space', 0.0011316638401018162)"
"('changing table', 0.0011310935259978329)"
"('seal', 0.001129835404926546)"
"('please', 0.0011174432776191196)"
"('home', 0.0011084564902386007)"
"('hard', 0.001107060048878282)"
"('odorless', 0.0010981788068375247)"
"('chute', 0.0010849322480520167)"
"('longer', 0.0010836216879327018)"
"('waste', 0.0010818260865633226)"
"('boy', 0.0010816513151086613)"
"('awkward', 0.001079590531549911)"
"('solution', 0.0010772476023606448)"
"('unit', 0.0010771030296173548)"
"('happy', 0.001070890147704891)"
"('pails', 0.0010604887970129017)"
"('plunger', 0.0010538853630232498)"
"('helps control', 0.0010507602450516055)"
"('drop', 0.0010390645520847444)"
"('small', 0.0010388926187626397)"
"('couple', 0.0010332927702177636)"
"('stars', 0.0010264140448989667)"
"('glad', 0.001026307173494784)"
"('mine', 0.0010246473061973909)"
"('genies', 0.0010206390135501261)"
"('yes', 0.0010160454508382918)"
"('cartridges', 0.0010109796892889239)"
"('blue', 0.0010051267550588918)"
"('larger size', 0.0009982322894048603)"
"('infant', 0.0009952649836232588)"
"('wrong', 0.0009940683121840957)"
"('home mom', 0.0009909265486164104)"
"('bin', 0.0009904243288604954)"
"('curious toddlers', 0.0009858847578499983)"
"('air', 0.0009841063687402814)"
"('changes', 0.00098387454860071)"
"('star', 0.0009770022847427878)"
"('shower', 0.0009756665504362798)"
"('stick', 0.0009709338565231994)"
"('tight space', 0.0009695376567834106)"
"('enough', 0.0009676060071234726)"
"('twins', 0.0009672199178253826)"
"('mind', 0.0009572251178986195)"
"('economical', 0.0009544488258151914)"
"('tape', 0.0009529978868106643)"
"('control', 0.0009506515208392971)"
"('whole bin', 0.0009466190464586674)"
"('interested', 0.0009461624009803921)"
"('matter', 0.0009456846574515342)"
"('cheap', 0.0009427625843438897)"
"('pain', 0.000935004496769255)"
"('hours', 0.0009310581437402384)"
"('bedroom', 0.0009254434622898443)"
"('beginning', 0.0009127421056754009)"
"('positive', 0.0009119100751351145)"
"('table food', 0.0009069380813356343)"
"('whole', 0.0009028137640568394)"
"('model', 0.0009006100113898781)"
"('gallon', 0.0008986758139210245)"
"('one-handed', 0.0008929105399861508)"
"('careful', 0.0008860960390636643)"
"('toys', 0.0008809740886317281)"
"('finger', 0.000880057008112834)"
"('reading', 0.0008770036124346678)"
"('mom', 0.0008733966069942201)"
"('night', 0.000862281689394922)"
"('course', 0.0008622021372030958)"
"('type', 0.000856245043079909)"
"('messy', 0.0008482504548891379)"
"('nice', 0.0008430509913122877)"
"('cover', 0.0008421025760673845)"
"('toilet', 0.0008417646314592836)"
"('wrap', 0.0008340761270511812)"
"('uses', 0.00083218763070458)"
"('effort', 0.0008295497859131259)"
"('years', 0.0008283295282612189)"
"('purchase', 0.0008234124917848895)"
"('nose', 0.0008193469689860183)"
"('disposable toilet', 0.0008163530786175714)"
"('fresh', 0.0008142856079102665)"
"('next', 0.0008074658501884744)"
"('tight', 0.000807411473465005)"
"('advice', 0.000801641194077353)"
"('bucks', 0.0007995716718122148)"
"('heavy', 0.0007992066469502045)"
"('parents', 0.0007985655121369434)"
"('sorry', 0.0007916729340645294)"
"('disposable', 0.0007909415257758592)"
"('size', 0.0007892798384515305)"
"('poo', 0.0007790940407151008)"
"('set', 0.000779086368019313)"
"('forth', 0.0007785323910457729)"
"('laundry', 0.0007784354342416076)"
"('container', 0.0007778447371676563)"
"('foam', 0.0007750856607212959)"
"('biggest', 0.0007734560181291864)"
"('take', 0.0007690550782547094)"
"('device', 0.0007615882383255281)"
"('tricky', 0.0007613031827938746)"
"('neat', 0.0007555347537750839)"
"('food', 0.0007535633278709567)"
"('solid food', 0.0007528838241385879)"
"('solid', 0.000752204320406219)"
